,norm,GO name,Cancer Related
GO:1902416,6.349075347,positive regulation of mrna binding,FALSE
GO:0042104,6.258961869,positive regulation of activated t cell proliferation,FALSE
GO:0075525,6.112377884,viral translational termination reinitiation,FALSE
GO:0006265,5.937680585,dna topological change,TRUE
GO:0009314,5.896633805,response to radiation,FALSE
GO:0050766,5.691685518,positive regulation of phagocytosis,FALSE
GO:0040001,5.679607312,establishment of mitotic spindle localization,FALSE
GO:0043550,5.637064895,regulation of lipid kinase activity,FALSE
GO:0090502,5.579958298,"rna phosphodiester bond hydrolysis, endonucleolytic",FALSE
GO:1900245,5.575609447,positive regulation of mda 5 signaling pathway,FALSE
GO:0048260,5.558052228,positive regulation of receptor mediated endocytosis,TRUE
GO:1902570,5.530010711,protein localization to nucleolus,FALSE
GO:0008584,5.410268714,male gonad development,TRUE
GO:0043987,5.396380942,histone h3 s10 phosphorylation,FALSE
GO:0051403,5.39208774,stress activated mapk cascade,FALSE
GO:1990966,5.365635756,atp generation from poly adp d ribose,FALSE
GO:1903204,5.35958718,negative regulation of oxidative stress induced neuron death,FALSE
GO:0043388,5.29238851,positive regulation of dna binding,FALSE
GO:0009299,5.266880496,mrna transcription,FALSE
GO:0000380,5.255573784,"alternative mrna splicing, via spliceosome",FALSE
GO:0016572,5.241970804,histone phosphorylation,FALSE
GO:0000012,5.222940721,single strand break repair,FALSE
GO:0050900,5.188411876,leukocyte migration,FALSE
GO:0010501,5.171484932,rna secondary structure unwinding,FALSE
GO:0045019,5.166362049,negative regulation of nitric oxide biosynthetic process,FALSE
GO:0046833,5.144245776,positive regulation of rna export from nucleus,FALSE
GO:0007254,5.13688806,jnk cascade,FALSE
GO:0010165,5.133905986,response to x ray,FALSE
GO:0051292,5.117413962,nuclear pore complex assembly,FALSE
GO:1901164,5.115949661,negative regulation of trophoblast cell migration,FALSE
GO:0051103,5.084358354,dna ligation involved in dna repair,FALSE
GO:0048041,5.072781979,focal adhesion assembly,FALSE
GO:0019369,5.069069263,arachidonic acid metabolic process,FALSE
GO:1903800,5.064962333,positive regulation of production of mirnas involved in gene silencing by mirna,TRUE
GO:0036462,5.040618328,trail activated apoptotic signaling pathway,FALSE
GO:0010942,5.033796183,positive regulation of cell death,TRUE
GO:0006297,4.986954989,"nucleotide excision repair, dna gap filling",FALSE
GO:0033673,4.975070128,negative regulation of kinase activity,FALSE
GO:0031665,4.972684302,negative regulation of lipopolysaccharide mediated signaling pathway,FALSE
GO:0045429,4.954311039,positive regulation of nitric oxide biosynthetic process,TRUE
GO:0071922,4.954072431,regulation of cohesin loading,FALSE
GO:0072656,4.934277271,maintenance of protein location in mitochondrion,FALSE
GO:0072655,4.934277271,establishment of protein localization to mitochondrion,FALSE
GO:1903936,4.93246394,cellular response to sodium arsenite,FALSE
GO:0032691,4.925538941,negative regulation of interleukin 1 beta production,FALSE
GO:0070212,4.905096411,protein poly adp ribosylation,FALSE
GO:0000731,4.880728554,dna synthesis involved in dna repair,TRUE
GO:1904646,4.87765925,cellular response to amyloid beta,FALSE
GO:1900246,4.87439361,positive regulation of rig i signaling pathway,FALSE
GO:0002218,4.868351311,activation of innate immune response,FALSE
