,norm,GO name,Cancer Related
GO:0009411,5.72134337688408,response to uv,True
GO:0006283,5.718535227117779,transcription coupled nucleotide excision repair,False
GO:0032079,5.526893658756434,positive regulation of endodeoxyribonuclease activity,False
GO:0071345,5.492904397171982,cellular response to cytokine stimulus,True
GO:0033683,5.480071332456095,"nucleotide excision repair, dna incision",False
GO:0070849,5.407172157553313,response to epidermal growth factor,False
GO:0075525,5.396815596303055,viral translational termination reinitiation,False
GO:2000679,5.321443993461124,positive regulation of transcription regulatory region dna binding,False
GO:0007254,5.315362415504366,jnk cascade,False
GO:0051403,5.301340024183264,stress activated mapk cascade,False
GO:0006289,5.260022347380552,nucleotide excision repair,True
GO:0032735,5.182558745602061,positive regulation of interleukin 12 production,False
GO:0046833,5.168889397625249,positive regulation of rna export from nucleus,False
GO:0098586,5.157771970822932,cellular response to virus,False
GO:0045638,5.129403505347567,negative regulation of myeloid cell differentiation,False
GO:0006260,5.1200434976301015,dna replication,True
GO:1900264,5.114956822388109,positive regulation of dna directed dna polymerase activity,False
GO:0042104,5.102281992810344,positive regulation of activated t cell proliferation,False
GO:0006284,5.079324286736041,base excision repair,False
GO:0071222,5.078026028385402,cellular response to lipopolysaccharide,True
GO:0006298,5.060769719906643,mismatch repair,False
GO:0051292,5.030188974548629,nuclear pore complex assembly,False
GO:1904706,4.96616910009655,negative regulation of vascular associated smooth muscle cell proliferation,True
GO:0030592,4.939221051013352,dna adp ribosylation,False
GO:0070212,4.928010028896146,protein poly adp ribosylation,False
GO:0006471,4.921600280382054,protein adp ribosylation,False
GO:0033129,4.905533276455375,positive regulation of histone phosphorylation,False
GO:1904294,4.897310250733216,positive regulation of erad pathway,False
GO:0032206,4.874029466524711,positive regulation of telomere maintenance,False
GO:0032147,4.870082210329485,activation of protein kinase activity,True
GO:0000723,4.863615970950736,telomere maintenance,False
GO:0048010,4.829180776930762,vascular endothelial growth factor receptor signaling pathway,True
GO:0035066,4.822341707158421,positive regulation of histone acetylation,False
