"initial_alias","converted_alias","name","description","namespace"
"7374","7374","UNG","uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]","ENTREZGENE_ACC"
"5531","5531","PPP4C","protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]","ENTREZGENE_ACC"
"60558","60558","GUF1","GTP binding elongation factor GUF1 [Source:HGNC Symbol;Acc:HGNC:25799]","ENTREZGENE_ACC"
"2125","2125","EVPL","envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]","ENTREZGENE_ACC"
"4013","4013","VWA5A","von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]","ENTREZGENE_ACC"
"5830","5830","PEX5","peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]","ENTREZGENE_ACC"
"57556","57556","SEMA6A","semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]","ENTREZGENE_ACC"
"83595","83595","SOX7","SRY-box transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18196]","ENTREZGENE_ACC"
"5859","5859","QARS1","glutaminyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9751]","ENTREZGENE_ACC"
"3939","3939","LDHA","lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]","ENTREZGENE_ACC"
"7347","7347","UCHL3","ubiquitin C-terminal hydrolase L3 [Source:HGNC Symbol;Acc:HGNC:12515]","ENTREZGENE_ACC"
"8361","8361","H4C6","H4 clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4783]","ENTREZGENE_ACC"
"79959","79959","CEP76","centrosomal protein 76 [Source:HGNC Symbol;Acc:HGNC:25727]","ENTREZGENE_ACC"
"10653","10653","SPINT2","serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]","ENTREZGENE_ACC"
"5698","5698","PSMB9","proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]","ENTREZGENE_ACC"
"342926","342926","ZNF677","zinc finger protein 677 [Source:HGNC Symbol;Acc:HGNC:28730]","ENTREZGENE_ACC"
"203228","203228","C9orf72","C9orf72-SMCR8 complex subunit [Source:HGNC Symbol;Acc:HGNC:28337]","ENTREZGENE_ACC"
"22820","22820","COPG1","COPI coat complex subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:2236]","ENTREZGENE_ACC"
"161742","161742","SPRED1","sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]","ENTREZGENE_ACC"
"55501","55501","CHST12","carbohydrate sulfotransferase 12 [Source:HGNC Symbol;Acc:HGNC:17423]","ENTREZGENE_ACC"
"85459","85459","CEP295","centrosomal protein 295 [Source:HGNC Symbol;Acc:HGNC:29366]","ENTREZGENE_ACC"
"4521","4521","NUDT1","nudix hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:8048]","ENTREZGENE_ACC"
"3615","3615","IMPDH2","inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]","ENTREZGENE_ACC"
"5296","5296","PIK3R2","phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]","ENTREZGENE_ACC"
"1789","1789","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE_ACC"
"51321","51321","AMZ2","archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]","ENTREZGENE_ACC"
"84632","84632","AFAP1L2","actin filament associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25901]","ENTREZGENE_ACC"
"5427","5427","POLE2","DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]","ENTREZGENE_ACC"
"10972","10972","TMED10","transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]","ENTREZGENE_ACC"
"79095","79095","C9orf16","chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:17823]","ENTREZGENE_ACC"
"54834","54834","GDAP2","ganglioside induced differentiation associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18010]","ENTREZGENE_ACC"
"64744","64744","SMAP2","small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]","ENTREZGENE_ACC"
"93474","93474","ZNF670","zinc finger protein 670 [Source:HGNC Symbol;Acc:HGNC:28167]","ENTREZGENE_ACC"
"22832","22832","CEP162","centrosomal protein 162 [Source:HGNC Symbol;Acc:HGNC:21107]","ENTREZGENE_ACC"
"6774","6774","STAT3","signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]","ENTREZGENE_ACC"
"6884","6884","TAF13","TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]","ENTREZGENE_ACC"
"7936","7936","NELFE","negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]","ENTREZGENE_ACC"
"9695","9695","EDEM1","ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]","ENTREZGENE_ACC"
"9191","9191","DEDD","death effector domain containing [Source:HGNC Symbol;Acc:HGNC:2755]","ENTREZGENE_ACC"
"144402","144402","CPNE8","copine 8 [Source:HGNC Symbol;Acc:HGNC:23498]","ENTREZGENE_ACC"
"64951","64951","MRPS24","mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:14510]","ENTREZGENE_ACC"
"29882","29882","ANAPC2","anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]","ENTREZGENE_ACC"
"22821","22821","RASA3","RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]","ENTREZGENE_ACC"
"54974","54974","THG1L","tRNA-histidine guanylyltransferase 1 like [Source:HGNC Symbol;Acc:HGNC:26053]","ENTREZGENE_ACC"
"57186","57186","RALGAPA2","Ral GTPase activating protein catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:16207]","ENTREZGENE_ACC"
"8398","8398","PLA2G6","phospholipase A2 group VI [Source:HGNC Symbol;Acc:HGNC:9039]","ENTREZGENE_ACC"
"27175","27175","TUBG2","tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]","ENTREZGENE_ACC"
"55334","55334","SLC39A9","solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]","ENTREZGENE_ACC"
"90806","90806","ANGEL2","angel homolog 2 [Source:HGNC Symbol;Acc:HGNC:30534]","ENTREZGENE_ACC"
"80013","80013","MINDY3","MINDY lysine 48 deubiquitinase 3 [Source:HGNC Symbol;Acc:HGNC:23578]","ENTREZGENE_ACC"
"2706","2706","GJB2","gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]","ENTREZGENE_ACC"
"9045","9045","RPL14","ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]","ENTREZGENE_ACC"
"23670","23670","CEMIP2","cell migration inducing hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:11869]","ENTREZGENE_ACC"
"84153","84153","RNASEH2C","ribonuclease H2 subunit C [Source:HGNC Symbol;Acc:HGNC:24116]","ENTREZGENE_ACC"
"10654","10654","PMVK","phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]","ENTREZGENE_ACC"
"6135","6135","RPL11","ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]","ENTREZGENE_ACC"
"22798","22798","LAMB4","laminin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]","ENTREZGENE_ACC"
"2705","2705","GJB1","gap junction protein beta 1 [Source:HGNC Symbol;Acc:HGNC:4283]","ENTREZGENE_ACC"
"27148","27148","STK36","serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209]","ENTREZGENE_ACC"
"8777","8777","MPDZ","multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208]","ENTREZGENE_ACC"
"55217","55217","TMLHE","trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]","ENTREZGENE_ACC"
"83641","83641","FAM107B","family with sequence similarity 107 member B [Source:HGNC Symbol;Acc:HGNC:23726]","ENTREZGENE_ACC"
"4774","4774","NFIA","nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]","ENTREZGENE_ACC"
"10443","10443","N4BP2L2","NEDD4 binding protein 2 like 2 [Source:HGNC Symbol;Acc:HGNC:26916]","ENTREZGENE_ACC"
"79969","79969","ATAT1","alpha tubulin acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21186]","ENTREZGENE_ACC"
"25926","25926","NOL11","nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557]","ENTREZGENE_ACC"
"139322","139322","APOOL","apolipoprotein O like [Source:HGNC Symbol;Acc:HGNC:24009]","ENTREZGENE_ACC"
"79621","79621","RNASEH2B","ribonuclease H2 subunit B [Source:HGNC Symbol;Acc:HGNC:25671]","ENTREZGENE_ACC"
"259236","259236","TMIE","transmembrane inner ear [Source:HGNC Symbol;Acc:HGNC:30800]","ENTREZGENE_ACC"
"11052","11052","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE_ACC"
"56981","56981","PRDM11","PR/SET domain 11 [Source:HGNC Symbol;Acc:HGNC:13996]","ENTREZGENE_ACC"
"1340","1340","COX6B1","cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]","ENTREZGENE_ACC"
"54665","54665","RSBN1","round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]","ENTREZGENE_ACC"
"2665","2665","GDI2","GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]","ENTREZGENE_ACC"
"55666","55666","NPLOC4","NPL4 homolog, ubiquitin recognition factor [Source:HGNC Symbol;Acc:HGNC:18261]","ENTREZGENE_ACC"
"942","942","CD86","CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]","ENTREZGENE_ACC"
"83986","83986","FAM234A","family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]","ENTREZGENE_ACC"
"2239","2239","GPC4","glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]","ENTREZGENE_ACC"
"57568","57568","SIPA1L2","signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]","ENTREZGENE_ACC"
"50628","50628","GEMIN4","gem nuclear organelle associated protein 4 [Source:HGNC Symbol;Acc:HGNC:15717]","ENTREZGENE_ACC"
"282969","282969","FUOM","fucose mutarotase [Source:HGNC Symbol;Acc:HGNC:24733]","ENTREZGENE_ACC"
"121053","121053","C12orf45","chromosome 12 open reading frame 45 [Source:HGNC Symbol;Acc:HGNC:28628]","ENTREZGENE_ACC"
"8878","8878","SQSTM1","sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]","ENTREZGENE_ACC"
"57154","57154","SMURF1","SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]","ENTREZGENE_ACC"
"9669","9669","EIF5B","eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793]","ENTREZGENE_ACC"
"80830","80830","APOL6","apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]","ENTREZGENE_ACC"
"116225","116225","ZMYND19","zinc finger MYND-type containing 19 [Source:HGNC Symbol;Acc:HGNC:21146]","ENTREZGENE_ACC"
"84939","84939","PWWP3A","PWWP domain containing 3A, DNA repair factor [Source:HGNC Symbol;Acc:HGNC:29641]","ENTREZGENE_ACC"
"5294","5294","PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]","ENTREZGENE_ACC"
"27430","27430","MAT2B","methionine adenosyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:6905]","ENTREZGENE_ACC"
"8802","8802","SUCLG1","succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]","ENTREZGENE_ACC"
"23167","23167","EFR3A","EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]","ENTREZGENE_ACC"
"81567","81567","TXNDC5","thioredoxin domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21073]","ENTREZGENE_ACC"
"57228","57228","SMAGP","small cell adhesion glycoprotein [Source:HGNC Symbol;Acc:HGNC:26918]","ENTREZGENE_ACC"
"22906","22906","TRAK1","trafficking kinesin protein 1 [Source:HGNC Symbol;Acc:HGNC:29947]","ENTREZGENE_ACC"
"513","513","ATP5F1D","ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]","ENTREZGENE_ACC"
"23438","23438","HARS2","histidyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:4817]","ENTREZGENE_ACC"
"26136","26136","TES","testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]","ENTREZGENE_ACC"
"55072","55072","RNF31","ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]","ENTREZGENE_ACC"
"359948","359948","IRF2BP2","interferon regulatory factor 2 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21729]","ENTREZGENE_ACC"
"506","506","ATP5F1B","ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]","ENTREZGENE_ACC"
"5321","5321","PLA2G4A","phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]","ENTREZGENE_ACC"
"2766","2766","GMPR","guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]","ENTREZGENE_ACC"
"6509","6509","SLC1A4","solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]","ENTREZGENE_ACC"
"25909","25909","AHCTF1","AT-hook containing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:24618]","ENTREZGENE_ACC"
"79654","79654","HECTD3","HECT domain E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:26117]","ENTREZGENE_ACC"
"581","581","BAX","BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]","ENTREZGENE_ACC"
"55062","55062","WIPI1","WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]","ENTREZGENE_ACC"
"9527","9527","GOSR1","golgi SNAP receptor complex member 1 [Source:HGNC Symbol;Acc:HGNC:4430]","ENTREZGENE_ACC"
